Name;LO;Tune;Mode;SrateOut;LoCut;HiCut
LW;216000;216000;AM;;;
MW;1120000;1120000;AM;;;
120m;2400000;2400000;AM;;;
90m;3300000;3300000;AM;;;
75m;3950000;3950000;AM;;;
60m;4905000;4905000;AM;;;
49m;6050000;6050000;AM;;;
41m;7275000;7275000;AM;;;
31m;9650000;9650000;AM;;;
25m;11850000;11850000;AM;;;
22m;13720000;13720000;AM;;;
19m;15450000;15450000;AM;;;
16m;17690000;17690000;AM;;;
15m;18960000;18960000;AM;;;
13m;21650000;21650000;AM;;;
11m;25850000;25850000;AM;;;?
