Name;LO;Tune;Mode;SrateOut;LoCut;HiCut
145.300(Радио-любители);144290000;145300000;FM;22050;116,36058807373;3586,44580078125
446.118(Тест_рация);446000000;446118000;FM;22050;109,528694152832;3516,12329101563
432.600(Охранники_Класс);432000000;432600000;FM;22050;116;3586
434.10(Репитер_Маяк);434000000;434100000;FM;22050;116,36058807373;3586,44580078125
446.06(Охранники_Восторга);445900000;446006250;FM;22050;119,591583251953;3523,93701171875
315.00(Пульт_на_4кнп);314200000;315000000;AM;96000;100;47863,92578125
320.00(Пульт_на_3кнп);319400000;320015000;AM;192000;100;95116
434.700(Модем_SI4432);434000000;434700000;AM;48000;100;23778,880859375
433.915(Дат.тока&Темп.);433800000;433915000;AM;96000;100;47863,92578125
